artist_id,name,type,album_name,descripcion,album_year,album_format,album_id,uri,albums,album_format_2,gender
3,Josh Wink,artist,A Higher State Of Wink's Works - Compiled,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,varios,86639,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Are You There...,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,varios,86642,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Left Above The Clouds,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,varios,86652,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,You Are The One,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,varios,86654,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Verano Azul,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1997,"12"", S/Edition",44002,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,Vinyl,electronic
3,Josh Wink,artist,"CNN News Piece ""Techno Music"" / Are You There","electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1997,"VHS, Advance, NTSC",10868263,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,DVD_VHS,electronic
3,Josh Wink,artist,Summer '97,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1997,"Cass, Mixed",11129270,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,Cassette,electronic
3,Josh Wink,artist,Sixth Sense,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1997,varios,86669,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Live Mix,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1998,"Cass, Mixed, Promo",306438,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,,electronic
3,Josh Wink,artist,Track 9,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1998,varios,164535,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
